title,year,type,root_key,all_ids,sources,draft,jellyplex,drive,draft_mtime,nas_mtime,drive_mtime,episodes,thuyet_minh_vn,sub_langs,folder_local,folder_jellyfin,folder_plex,folder_gdrive
Detective Conan: Private Eye in the Distant Sea,2013,,tvdb-14973,imdb-tt3303446 tmdb-228805 tvdb-14973,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Private Eye in the Distant Sea (2013).mkv,Thám Tử Lừng Danh Conan: Con Mắt Bí Ẩn Ngoài Biển Xa,
Detective Conan: Quarter of Silence,2011,,tvdb-11170,imdb-tt1840372 tmdb-77617 tvdb-11170,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Quarter of Silence (2011).mkv,Thám Tử Lừng Danh Conan: 15 Phút Tĩnh Lặng,
Detective Conan: Strategy Above the Depths,2005,,tvdb-14788,imdb-tt1133936 tmdb-39204 tvdb-14788,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Strategy Above the Depths (2005).mkv,Thám Tử Lừng Danh Conan: Âm Mưu Trên Biển,
Detective Conan: Sunflowers of Inferno,2015,,tvdb-20278,imdb-tt3737650 tmdb-316873 tvdb-20278,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Sunflowers of Inferno (2015).mkv,Thám Tử Lừng Danh Conan: Hoa Hướng Dương Rực Lửa,
Detective Conan: The Bride of Halloween,2022,,tvdb-336129,imdb-tt19770970 tmdb-903939 tvdb-336129,jellyfin+plex,0,1,0,,2023-07-30,,,1,jpn,,Detective Conan: The Bride of Halloween (2022).mkv,Thám Tử Lừng Danh Conan: Nàng Dâu Halloween,
Detective Conan: The Darkest Nightmare,2016,,tvdb-16525,imdb-tt4954660 tmdb-374856 tvdb-16525,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: The Darkest Nightmare (2016).mkv,Thám Tử Lừng Danh Conan: Cơn Ác Mộng Đen Tối,
Detective Conan: The Eleventh Striker,2012,,tvdb-10667,imdb-tt2131586 tmdb-122583 tvdb-10667,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: The Eleventh Striker (2012).mkv,Thám Tử Lừng Danh Conan: Tiền Đạo Thứ 11,
Detective Conan: The Last Wizard of the Century,1999,,tvdb-13866,imdb-tt1067920 tmdb-28808 tvdb-13866,jellyfin+plex,0,1,0,,2023-08-02,,,1,"eng,vie",,Detective Conan: The Last Wizard of the Century (1999).mkv,Thám Tử Lừng Danh Conan: Ảo Thuật Gia Cuối Cùng Của Thế Kỷ,
Detective Conan: The Lost Ship in the Sky,2010,,tvdb-12618,imdb-tt1636815 tmdb-97375 tvdb-12618,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: The Lost Ship in the Sky (2010).mkv,Thám Tử Lừng Danh Conan: Con Tàu Biến Mất Giữa Trời Xanh,
Detective Conan: The Phantom of Baker Street,2002,,tvdb-6763,imdb-tt0990372 tmdb-26662 tvdb-6763,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: The Phantom of Baker Street (2002).mkv,Thám Tử Lừng Danh Conan: Bóng Ma Đường Baker,
Detective Conan: The Private Eyes' Requiem,2006,,tvdb-8972,imdb-tt0498536 tmdb-39205 tvdb-8972,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: The Private Eyes Requiem (2006).mkv,Thám Tử Lừng Danh Conan: Lễ Cầu Hồn Của Thám Tử,
Detective Conan: The Raven Chaser,2009,,tvdb-7525,imdb-tt1343046 tmdb-28764 tvdb-7525,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: The Raven Chaser (2009).mkv,Thám Tử Lừng Danh Conan: Truy Lùng Tổ Chức Áo Đen,
Detective Conan: The Scarlet Bullet,2021,,tvdb-134706,imdb-tt12093860 tmdb-662638 tvdb-134706,jellyfin+plex,0,1,0,,2023-07-30,,,1,"jpn,vie",,Detective Conan: The Scarlet Bullet (2021).mkv,Thám Tử Lừng Danh Conan: Viên Đạn Đỏ,
Detective Conan: The Time Bombed Skyscraper,1997,,tvdb-3188,imdb-tt0131479 tmdb-21422 tvdb-3188,jellyfin+plex,0,1,0,,2023-08-03,,,1,"chi,eng,vie",,Detective Conan: The Time Bombed Skyscraper (1997).mkv,Thám Tử Lừng Danh Conan: Quả Bom Chọc Trời,
DM i stand-up 2008,1996,,tmdb-41249,imdb-tt0106421 tmdb-41249,jellyfin+plex,0,1,0,,2026-08-29,,,0,,,Black Jack - The Movie (1996) - [1080p BDRip HEVC].mkv,DM i stand-up 2008,
Doctor Strange,2016,,tvdb-145,imdb-tt1211837 tmdb-284052 tvdb-145,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,dan,dut,eng,fin,fre,ger,ice,ita,jpn,kor,nor,por,spa,swe,vie",,Doctor Strange (2016).mkv,Phù Thuỷ Tối Thượng,
Doctor Strange,,,tvdb-4251,imdb-tt0910865 tmdb-14830 tvdb-4251,plex,0,1,0,,,,,0,,,,Phù Thủy Tối Thượng,
Doctor Strange in the Multiverse of Madness,2022,,tvdb-32426,imdb-tt9419884 tmdb-453395 tvdb-32426,jellyfin+plex,0,1,0,,2022-06-23,,,0,"eng,vie",,Doctor Strange in the Multiverse of Madness (2022).mkv,Phù Thủy Tối Thượng: Đa Vũ Trụ Hỗn Loạn,
Doraemon the Movie: Nobita's Earth Symphony,2024,,tmdb-1148677,imdb-tt29402528 tmdb-1148677,jellyfin+plex,0,1,0,,2025-06-04,,,0,,,Doraemon: Nobita's Earth Symphony (2024)-1.mp4,Doraemon: Nobita Và Bản Giao Hưởng Địa Cầu,
Doraemon the Movie: Nobita's Little Star Wars 2021,2022,,tvdb-357156,imdb-tt13740078 tmdb-782054 tvdb-357156,jellyfin+plex,0,1,0,,2025-06-05,,,1,jpn,,Doraemon: Nobita's Little Star Wars 2021 (2022).mkv,Doraemon: Nobita và Cuộc Chiến Vũ Trụ Tí Hon,
Doraemon the Movie: Nobita's Sky Utopia,2023,,tvdb-345581,imdb-tt21223380 tmdb-1030587 tvdb-345581,jellyfin+plex,0,1,0,,2025-06-05,,,1,vie,,Doraemon: Nobita's Sky Utopia (2023).mkv,Doraemon: Nobita và Vùng Đất Lý Tưởng Trên Bầu Trời,
Doraemon: New Nobita's Great Demon - Peko and the Exploration Party of Five,2014,,tvdb-17029,imdb-tt3949650 tmdb-285812 tvdb-17029,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: New Nobita's Great Demon - Peko and the Exploration Party of Five (2014) [1080p].mkv,Doraemon: Nobita Thám Hiểm Vùng Đất Mới – Peko và 5 Nhà Thám Hiểm,
Doraemon: Nobita and the Animal Planet,1990,,tvdb-24850,imdb-tt1147520 tmdb-161707 tvdb-24850,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,Doraemon: Nobita and the Animal Planet (1990) [VIETDUB] [720p].mp4,Doraemon: Nobita và Hành Tinh Muông Thú,
Doraemon: Nobita and the Birth of Japan,1989,,tvdb-15788,imdb-tt1147511 tmdb-142527 tvdb-15788,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Birth of Japan (1989).mp4,Doraemon: Nobita và Nước Nhật Thời Nguyên Thủy,
Doraemon: Nobita and the Birth of Japan,2016,,tvdb-18730,imdb-tt5544700 tmdb-384345 tvdb-18730,jellyfin+plex,0,1,0,,2025-06-07,,,1,,,Doraemon.Nobita.And.The.Birth.Of.Japan.2016.ViE.720p.mkv,Doraemon: Nobita và Nước Nhật Thời Nguyên Thủy,
Doraemon: Nobita and the Castle of the Undersea Devil,1983,,tvdb-14655,imdb-tt1147509 tmdb-147576 tvdb-14655,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Castle of the Undersea Devil (1983).mp4,Doraemon: Nobita và Lâu Đài Dưới Đáy Biển,
Doraemon: Nobita and the Galaxy Super-express,1996,,tvdb-15357,imdb-tt1147522 tmdb-106164 tvdb-15357,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Galaxy Super-express (1996).mp4,Doraemon: Nobita và Chuyến Tàu Tốc Hành Ngân Hà,
Doraemon: Nobita and the Green Giant Legend,2008,,tvdb-17092,imdb-tt180304 tmdb-136686 tvdb-17092,jellyfin+plex,0,1,0,,2025-06-04,,,1,,,Doraemon: Nobita and the Green Giant Legend (2008).mkv,Doraemon: Nobita và Người Khổng Lồ Xanh,
Doraemon: Nobita and the Haunts of Evil,1982,,tvdb-26037,imdb-tt4184350 tmdb-184004 tvdb-26037,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,Doraemon: Nobita and the Haunts of Evil (1982).mp4,Doraemon: Nobita Thám Hiểm Vùng Đất Mới,
Doraemon: Nobita and the Island of Miracles – Animal Adventure,2012,,tvdb-18759,imdb-tt2271315 tmdb-160642 tvdb-18759,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Island of Miracles - Animal Adventure (2012).mkv,Doraemon: Nobita và Hòn Đảo Diệu Kì – Cuộc Phiêu Lưu Của Loài Thú,
Doraemon: Nobita and the Kingdom of Clouds,1992,,tvdb-15052,imdb-tt1147523 tmdb-134162 tvdb-15052,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Kingdom of Clouds (1992).mp4,Doraemon: Nobita và Vương Quốc Trên Mây,
Doraemon: Nobita and the Knights on Dinosaurs,1987,,tvdb-17457,imdb-tt1147527 tmdb-72565 tvdb-17457,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Knights on Dinosaurs (1987).mp4,Doraemon: Nobita và Hiệp Sĩ Rồng,
Doraemon: Nobita and the Legend of the Sun King,2000,,tvdb-19100,imdb-tt1147513 tmdb-31352 tvdb-19100,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Legend of the Sun King (2000).mp4,Doraemon: Nobita và Truyền Thuyết Vua Mặt Trời,
Doraemon: Nobita and the New Steel Troops: Winged Angels,2011,,tvdb-15309,imdb-tt1851909 tmdb-137227 tvdb-15309,jellyfin+plex,0,1,0,,2025-06-08,,,1,,,Doraemon: Nobita and the New Steel Troops—Winged Angels (2011).mkv,Doraemon: Nobita và Binh Đoàn Người Sắt,
Doraemon: Nobita and the Robot Kingdom,2002,,tvdb-17840,imdb-tt1147526 tmdb-162095 tvdb-17840,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Robot Kingdom (2002).mp4,Doraemon: Nobita và Vương Quốc Robot,
Doraemon: Nobita and the Space Heroes,2015,,tvdb-21710,imdb-tt4788602 tmdb-350650 tvdb-21710,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Space Heroes (2015).mkv,Doraemon: Nobita và Những Hiệp Sĩ Không Gian,
Doraemon: Nobita and the Spiral City,1997,,tvdb-13858,imdb-tt1147510 tmdb-163394 tvdb-13858,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Spiral City (1997).mp4,Doraemon: Nobita và Cuộc Phiêu Lưu Ở Thành Phố Dây Cót,
Doraemon: Nobita and the Steel Troops,1986,,tvdb-18919,imdb-tt1147528 tmdb-88625 tvdb-18919,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Steel Troops (1986).mp4,Doraemon: Nobita và Binh Đoàn Người Sắt,
Doraemon: Nobita and the Tin Labyrinth,1993,,tvdb-21048,imdb-tt1147521 tmdb-161822 tvdb-21048,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Tin Labyrinth (1993).mp4,Doraemon: Nobita và Mê Cung Thiếc,
Doraemon: Nobita and the Windmasters,2003,,tvdb-12302,imdb-tt0473474 tmdb-98613 tvdb-12302,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Windmasters (2003).mp4,Doraemon: Nobita và Những Pháp Sư Gió Bí Ẩn,
Doraemon: Nobita and the Winged Braves,2001,,tvdb-15506,imdb-tt0306741 tmdb-162092 tvdb-15506,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita and the Winged Braves (2001).mp4,Doraemon: Nobita và Những Dũng Sĩ Có Cánh,
Doraemon: Nobita Drifts in the Universe,1999,,tvdb-33448,imdb-tt1147514 tmdb-162072 tvdb-33448,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita Drifts in the Universe (1999).mp4,Doraemon: Nobita Vũ Trụ Phiêu Lưu Kí,
Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,2004,,tvdb-116579,imdb-tt1147516 tmdb-192904 tvdb-116579,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey (2004).mp4,Doraemon: Nobita Ở Vương Quốc Chó Mèo,
Doraemon: Nobita's Chronicle of the Moon Exploration,2019,,tvdb-426,imdb-tt9735672 tmdb-575222 tvdb-426,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,Doraemon: Nobita's Chronicle of the Moon Exploration (2019) [1080p].mkv,Doraemon: Nobita và Mặt Trăng Phiêu Lưu Ký,
Doraemon: Nobita's Diary on the Creation of the World,1995,,tvdb-20801,imdb-tt1147512 tmdb-162069 tvdb-20801,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Diary on the Creation of the World (1995).mp4,Doraemon: Đấng Toàn Năng Nobita,
Doraemon: Nobita's Dinosaur,1980,,tvdb-11872,imdb-tt1147517 tmdb-64789 tvdb-11872,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,Doraemon: Nobita's Dinosaur (1980).mp4,Doraemon: Chú Khủng Long của Nobita,
Doraemon: Nobita's Dinosaur,2006,,tvdb-11515,imdb-tt0802983 tmdb-70841 tvdb-11515,jellyfin+plex,0,1,0,,2025-06-04,,,1,,,Doraemon: Nobita's Dinosaur (2006).mkv,Doraemon: Chú Khủng Long của Nobita,
Doraemon: Nobita's Dorabian Nights,1991,,tvdb-20179,imdb-tt1147508 tmdb-188403 tvdb-20179,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,Doraemon: Nobita's Dorabian Nights (1991) [VIETDUB] [720p].mp4,Doraemon: Nobita Ở Xứ Sở Nghìn Lẻ Một Đêm,
Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi,2017,,tvdb-11379,imdb-tt5912470 tmdb-462677 tvdb-11379,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Great Adventure in the Antarctic Kachi Kochi (2017).mkv,Doraemon: Nobita và Chuyến Thám Hiểm Nam Cực Kachi Kochi,
Doraemon: Nobita's Great Adventure in the South Seas,1998,,tvdb-15752,imdb-tt1147519 tmdb-105444 tvdb-15752,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Great Adventure in the South Seas (1998).mp4,Doraemon: Nobita Du Hành Biển Phương Nam,
Doraemon: Nobita's Great Adventure in the World of Magic,1984,,tvdb-22024,imdb-tt1147518 tmdb-161699 tvdb-22024,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Great Adventure into the Underworld (1984).mp4,Doraemon: Nobita và Chuyến Phiêu Lưu Vào Xứ Quỷ,
Doraemon: Nobita's Great Battle of the Mermaid King,2010,,tvdb-17076,imdb-tt1613031 tmdb-86184 tvdb-17076,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Great Battle of the Mermaid King (2010) [1080p].mkv,Doraemon: Nobita và Cuộc Đại Thủy Chiến Ở Xứ Sở Người Cá,
Doraemon: Nobita's Little Star Wars,1985,,tvdb-30026,imdb-tt0313990 tmdb-161704 tvdb-30026,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Little Star Wars (1985).mp4,Doraemon: Nobita và Cuộc Chiến Vũ Trụ,
Doraemon: Nobita's New Dinosaur,2020,,tvdb-149590,imdb-tt10588750 tmdb-682153 tvdb-149590,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's New Dinosaur (2020) [1080p].mkv,Doraemon: Nobita và Những Bạn Khủng Long Mới,
Doraemon: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users,2007,,tvdb-11659,imdb-tt1260351 tmdb-52795 tvdb-11659,jellyfin+plex,0,1,0,,2025-06-04,,,1,,,Doraemon: Nobita's New Great Adventure into the Underworld (2007).mkv,Doraemon: Nobita và Chuyến Phiêu Lưu Vào Xứ Quỷ,
Doraemon: Nobita's Secret Gadget Museum,2013,,tvdb-29954,imdb-tt2768084 tmdb-218726 tvdb-29954,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Secret Gadget Museum (2013) [1080p].mkv,Doraemon: Nobita và Viện Bảo Tàng Bảo Bối,
Doraemon: Nobita's Three Visionary Swordsmen,1994,,tvdb-13758,imdb-tt1147524 tmdb-161715 tvdb-13758,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Doraemon: Nobita's Three Visionary Swordsmen (1994).mp4,Doraemon: Nobita và Ba Chàng Hiệp Sĩ Mộng Mơ,
Doraemon: Nobita's Treasure Island,2018,,tvdb-673,imdb-tt8098546 tmdb-495925 tvdb-673,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,Doraemon: Nobita's Treasure Island (2018) [VieDUB][720p].mkv,Doraemon: Nobita và Đảo Giấu Vàng,
Doraemon: The New Record of Nobita's Spaceblazer,2009,,tvdb-13817,imdb-tt1264885 tmdb-95935 tvdb-13817,jellyfin+plex,0,1,0,,2025-06-05,,,0,,,Doraemon: The Record of Nobita's Spaceblazer (2009).mkv,Doraemon: Nobita và Lịch Sử Khai Phá Vũ Trụ,
Doraemon: The Record of Nobita's Parallel Journey to the West,1988,,tvdb-23585,imdb-tt1147525 tmdb-136241 tvdb-23585,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,Doraemon: The Record of Nobitas Parallel Visit to the West (1988) [1080i].ts,Doraemon: Nobita Tây Du Kí,
"Doraemon: The Record of Nobita, Spaceblazer",1981,,tvdb-14292,imdb-tt1147515 tmdb-162103 tvdb-14292,jellyfin+plex,0,1,0,,2025-06-07,,,0,,,"Doraemon: The Records of Nobita, Spaceblazer (1981).mp4",Doraemon: Nobita và Lịch Sử Khai Phá Vũ Trụ,
Doubutsu Sentai Zyuohger vs. Ninninger the Movie: Super Sentai's Message from the Future from Super Sentai,2017,,tvdb-95722,imdb-tt6342418 tmdb-433450 tvdb-95722,jellyfin+plex,0,1,0,,2025-06-25,,,0,,,Doubutsu Sentai Zyuohger vs. Ninninger the Movie: Super Sentai's Message from the Future.mkv,Doubutsu Sentai Zyuohger vs. Ninninger the Movie: Message from the Future from Super Sentai,
Dragon Ball,,,tvdb-76666,imdb-tt0088509 tmdb-12609 tvdb-76666,plex,0,1,0,,,,,0,,,,Bảy Viên Ngọc Rồng,
Dragon Ball DAIMA,2024,,tvdb-440820,imdb-tt29485149 tmdb-236994 tvdb-440820,jellyfin+plex,0,1,0,,2026-08-24,,151,1,"eng,fin,jpn,vie",,Dragon Ball,Dragon Ball DAIMA,
Dragon Ball GT,1996,,tvdb-79275,imdb-tt0139774 tmdb-12697 tvdb-79275,jellyfin+plex,0,1,0,,2026-05-12,,,0,,,Dragon Ball GT,Bảy Viên Ngọc Rồng GT,
Dragon Ball GT: A Hero's Legacy,1997,,tvdb-4460,imdb-tt0142232 tmdb-18095 tvdb-4460,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball GT Special - A Hero's Legacy.mkv,Dragon Ball GT: A Hero's Legacy,
Dragon Ball Super: Broly,2018,,tvdb-87,imdb-tt7961060 tmdb-503314 tvdb-87,jellyfin+plex,0,1,0,,2025-05-12,,,0,"eng,vie",,Dragon Ball Super: Broly (2018).mkv,Bảy Viên Ngọc Rồng Siêu Cấp: Huyền Thoại Broly,
Dragon Ball Super: Super Hero,2022,,tvdb-199171,imdb-tt14614892 tmdb-610150 tvdb-199171,jellyfin+plex,0,1,0,,2023-09-28,,,0,"chi,eng,jpn,vie",,Dragon Ball Super: Super Hero (2022).mkv,Bảy Viên Ngọc Rồng Siêu Cấp: Siêu Anh Hùng,
Dragon Ball Z Kai,2009,,tvdb-88031,imdb-tt1409055 tmdb-61709 tvdb-88031,jellyfin+plex,0,1,0,,2026-08-24,,168,0,,,Dragon Ball Z Kai,Bảy Viên Ngọc Rồng Kai,
Dragon Ball Z: Bardock - The Father of Goku,1990,,tvdb-3981,imdb-tt0142245 tmdb-39323 tvdb-3981,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,"Dragon Ball Z Special 01 - Bardock, The Father Of Goku.mkv",Dragon Ball Z: Bardock - The Father of Goku,
Dragon Ball Z: Battle of Gods,2013,,tvdb-430,imdb-tt2263944 tmdb-126963 tvdb-430,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Z Movie 14 - Battle Of Gods.mkv,Dragon Ball Z: Trận Chiến Của Các Vị Thần,
Dragon Ball Z: Bio-Broly,,,tvdb-2417,imdb-tt0142234 tmdb-39106 tvdb-2417,plex,0,1,0,,,,,0,,,,Dragon Ball Z: Bio-Broly,
Dragon Ball Z: Bojack Unbound,,,tvdb-1530,imdb-tt0142238 tmdb-39105 tvdb-1530,plex,0,1,0,,,,,0,,,,Dragon Ball Z: Bojack Unbound,
Dragon Ball Z: Broly - Second Coming,,,tvdb-844,imdb-tt0142239 tmdb-44251 tvdb-844,plex,0,1,0,,,,,0,,,,Dragon Ball Z: Broly - Second Coming,
Dragon Ball Z: Broly - The Legendary Super Saiyan,,,tvdb-488,imdb-tt0142242 tmdb-34433 tvdb-488,plex,0,1,0,,,,,0,,,,Bảy Viên Ngọc Rồng Z: Broly - Siêu Saiyan Huyền Thoại,
Dragon Ball Z: Cooler's Revenge,1991,,tvdb-1225,imdb-tt1125254 tmdb-24752 tvdb-1225,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Z Movie 05 - Cooler's Revenge.mkv,Bảy Viên Ngọc Rồng: Cooler Phục Hận,
Dragon Ball Z: Dead Zone,1989,,tvdb-447,imdb-tt0142235 tmdb-28609 tvdb-447,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Z Movie 01 - The Dead Zone.mkv,7 Viên Ngọc Rồng Z: Chiến Binh Bất Tử,
Dragon Ball Z: Fusion Reborn,,,tvdb-897,imdb-tt0142236 tmdb-39107 tvdb-897,plex,0,1,0,,,,,0,,,,Dragon Ball Z: Fusion Reborn,
Dragon Ball Z: Lord Slug,,,tvdb-2494,imdb-tt0142244 tmdb-39102 tvdb-2494,plex,0,1,0,,,,,0,,,,7 Viên Ngọc Rồng: Chúa Tể Ốc Sên,
Dragon Ball Z: Resurrection 'F',,,tvdb-568,imdb-tt3819668 tmdb-303857 tvdb-568,plex,0,1,0,,,,,0,,,,Dragon Ball Z: Frieza Hồi Sinh,
Dragon Ball Z: Super Android 13!,,,tvdb-2199,imdb-tt0142241 tmdb-39104 tvdb-2199,plex,0,1,0,,,,,0,,,,Bảy Viên Ngọc Rồng: Siêu Người Máy Số 13,
Dragon Ball Z: The History of Trunks,1993,,tvdb-4775,imdb-tt0142247 tmdb-39324 tvdb-4775,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Z Special 02 - The History Of Trunks.mkv,Dragon Ball Z: The History of Trunks,
Dragon Ball Z: The Return of Cooler,,,tvdb-1904,imdb-tt0142237 tmdb-39103 tvdb-1904,plex,0,1,0,,,,,0,,,,Bảy Viên Ngọc Rồng: Sự Trở Lại Của Cooler,
Dragon Ball Z: The Tree of Might,,,tvdb-2343,imdb-tt0142233 tmdb-39101 tvdb-2343,plex,0,1,0,,,,,0,,,,7 Viên Ngọc Rồng Z: Mầm Cây Sinh Lực,
Dragon Ball Z: The World's Strongest,1990,,tvdb-1342,imdb-tt0142240 tmdb-39100 tvdb-1342,jellyfin+plex,0,1,0,,2025-06-04,,,0,eng,,Dragon Ball Super Movie 02 - Super Hero.mkv,Bảy Viên Ngọc Rồng Z: Kẻ Mạnh Nhất,
Dragon Ball Z: Wrath of the Dragon,,,tvdb-799,imdb-tt0142243 tmdb-39108 tvdb-799,plex,0,1,0,,,,,0,,,,Dragon Ball Z: Wrath of the Dragon,
Dragon Ball: Curse of the Blood Rubies,1986,,tvdb-5301,imdb-tt0142251 tmdb-39144 tvdb-5301,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Movie 01 - Curse of the Blood Rubies.mkv,7 Viên Ngọc Rồng: Truyền Thuyết Về Rồng Thần,
Dragon Ball: Mystical Adventure,1988,,tvdb-10111,imdb-tt0142248 tmdb-116776 tvdb-10111,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Movie 03 - Mystical Adventure.mkv,7 Viên Ngọc Rồng: Hành Trình Kỳ Diệu,
Dragon Ball: Sleeping Princess in Devil's Castle,1987,,tvdb-4871,imdb-tt0142249 tmdb-39145 tvdb-4871,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Movie 02 - Sleeping Princess in Devil's Castle.mkv,7 Viên Ngọc Rồng: Công Chúa Ngủ Trong Lâu Đài Quỷ,
Dragon Ball: The Path to Power,1996,,tvdb-7033,imdb-tt0142250 tmdb-39148 tvdb-7033,jellyfin+plex,0,1,0,,2025-06-05,,,0,eng,,Dragon Ball Movie 04 - The Path To Power.mkv,Dragon Ball: The Path to Power,
Engine Sentai Go-Onger Special DVD: It's a Seminar! Everyone GO-ON!!,2008,,tmdb-984832,tmdb-984832,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Engine Sentai Go-Onger Special DVD: It's a Seminar! Everyone GO-ON!!.avi,Engine Sentai Go-Onger Special DVD: It's a Seminar! Everyone GO-ON!!,
Engine Sentai Go-Onger vs. Gekiranger,2009,,tvdb-82304,imdb-tt1344712 tmdb-188209 tvdb-82304,jellyfin+plex,0,1,0,,2021-05-24,,,0,,,Engine Sentai Go-Onger vs. Gekiranger.mkv,Engine Sentai Go-onger VS Gekiranger,
Engine Sentai Go-Onger: 10 Years Grand Prix,2018,,tvdb-10568,imdb-tt8223260 tmdb-512273 tvdb-10568,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Engine Sentai Go-Onger: 10 Years Grand Prix.mkv,Engine Sentai Go-onger: 10 Years Grand Prix,
Eternals,2021,,tvdb-131147,imdb-tt9032400 tmdb-524434 tvdb-131147,jellyfin+plex,0,1,0,,2022-06-20,,,0,"chi,dan,dut,eng,fin,fre,gre,ice,jpn,nor,pol,por,swe,vie",,Eternals (2021).mkv,Eternals: Chủng Tộc Bất Tử,
Freak Encounters,,,tmdb-45851,tmdb-45851 tvdb-79354,gdrive,0,0,1,,,,,0,,,,,The File of Young Kindaichi (1997) {tvdb-79460}
From Episode of Stinger: Uchu Sentai Kyuranger - High School Wars,2017,,tvdb-416609,imdb-tt7516348 tmdb-74715 tvdb-416609,jellyfin+plex,0,1,0,,2026-05-12,,,0,,,From Episode of Stinger: Uchu Sentai Kyuranger - High School Wars,"From Episode of Stinger, Uchu Sentai Kyuranger: High School Wars",
From Up on Poppy Hill,2011,,tvdb-4788,imdb-tt1798188 tmdb-83389 tvdb-4788,jellyfin+plex,0,1,0,,2025-06-22,,,1,"eng,vie",,Ngọn đồi hoa hồng anh.2011.1080P.NF.WEB-DL.AAC.H264-KM.mkv,Ngọn Đồi Hoa Hồng Anh,
